allocation_group,allocation_group_quality,dc_start,allocated_units,dc_remaining,rows_in_group,eligible_rows_in_group,cycles_run,partial_used,over_allocated,stop_reason,trace_truncated
1881662,item,302.0,38.0,264.0,20,20,39,False,False,best score below threshold (0.328 < 0.400),False
1154239,item,88.0,14.0,74.0,9,9,15,False,False,best score below threshold (0.002 < 0.400),False
1947784,item,344.0,6.0,338.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1921982,item,4109.0,66.0,4043.0,12,12,12,False,False,best score below threshold (0.035 < 0.400),False
1026243,item,144.0,60.0,84.0,15,15,16,False,False,best score below threshold (0.000 < 0.400),False
1931356,item,17.0,12.0,5.0,3,3,8,False,False,best score below threshold (0.000 < 0.500),False
1931360,item,24.0,6.0,18.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1931361,item,6.0,6.0,0.0,3,3,1,False,False,DC exhausted,False
1869521,item,8423.0,258.0,8165.0,27,27,44,False,False,best score below threshold (0.354 < 0.400),False
1752183,item,658.0,600.0,58.0,55,55,51,False,False,best score below threshold (0.434 < 0.435),False
1936052,item,336.0,336.0,0.0,39,39,28,False,False,DC exhausted,False
1994686,item,39.0,0.0,39.0,1,1,1,False,False,no eligible row above threshold,False
1994687,item,95.0,12.0,83.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1361004,item,587.0,72.0,515.0,6,6,7,False,False,best score below threshold (0.000 < 0.400),False
1765300,item,67.0,24.0,43.0,4,4,5,False,False,best score below threshold (0.000 < 0.400),False
1993990,item,672.0,32.0,640.0,3,3,5,False,False,best score below threshold (0.000 < 0.400),False
1374345,item,1128.0,12.0,1116.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1441746,item,954.0,222.0,732.0,37,37,38,False,False,best score below threshold (0.000 < 0.400),False
1441747,item,300.0,128.0,172.0,35,35,33,False,False,best score below threshold (0.000 < 0.400),False
1472865,item,900.0,72.0,828.0,6,6,7,False,False,best score below threshold (0.001 < 0.400),False
1138270,item,79.0,12.0,67.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1620351,item,1278.0,12.0,1266.0,2,2,3,False,False,best score below threshold (0.004 < 0.400),False
1730028,item,1440.0,576.0,864.0,80,80,97,False,False,best score below threshold (0.036 < 0.400),False
1927223,item,2027.0,168.0,1859.0,14,14,15,False,False,best score below threshold (0.000 < 0.400),False
1927224,item,168.0,60.0,108.0,5,5,6,False,False,best score below threshold (0.000 < 0.400),False
1162128,item,305.0,30.0,275.0,5,5,6,False,False,best score below threshold (0.000 < 0.400),False
1532067,item,340.0,152.0,188.0,35,35,39,False,False,best score below threshold (0.004 < 0.400),False
100677,item,4406.0,500.0,3906.0,13,13,11,False,False,best score below threshold (0.154 < 0.400),False
411763,item,287.0,115.0,172.0,23,23,24,False,False,best score below threshold (0.047 < 0.400),False
1301982,item,74.0,23.0,51.0,13,13,24,False,False,best score below threshold (0.100 < 0.400),False
1301984,item,147.0,49.0,98.0,21,21,50,False,False,best score below threshold (0.140 < 0.400),False
1021848,item,888.0,18.0,870.0,4,4,4,False,False,best score below threshold (0.009 < 0.400),False
1021850,item,961.0,24.0,937.0,3,3,3,False,False,best score below threshold (0.000 < 0.400),False
1022267,item,396.0,48.0,348.0,4,4,5,False,False,best score below threshold (0.000 < 0.400),False
1108842,item,18.0,0.0,18.0,4,4,1,False,False,no eligible row above threshold,False
1234702,item,2382.0,78.0,2304.0,27,27,40,False,False,best score below threshold (0.040 < 0.400),False
1238834,item,2491.0,14.0,2477.0,5,5,8,False,False,best score below threshold (0.001 < 0.400),False
1286157,item,70.0,40.0,30.0,18,18,21,False,False,best score below threshold (0.114 < 0.400),False
1320052,item,96.0,6.0,90.0,5,5,7,False,False,best score below threshold (0.051 < 0.400),False
1449505,item,608.0,16.0,592.0,8,8,9,False,False,best score below threshold (0.099 < 0.400),False
1462839,item,18.0,8.0,10.0,15,15,9,False,False,best score below threshold (0.065 < 0.400),False
1531275,item,2310.0,126.0,2184.0,64,64,64,False,False,best score below threshold (0.374 < 0.400),False
1531279,item,54.0,22.0,32.0,11,11,12,False,False,best score below threshold (0.050 < 0.400),False
1663346,item,110.0,32.0,78.0,14,14,17,False,False,best score below threshold (0.012 < 0.400),False
1663347,item,136.0,12.0,124.0,18,18,7,False,False,best score below threshold (0.070 < 0.400),False
1698574,item,259.0,52.0,207.0,22,22,27,False,False,best score below threshold (0.042 < 0.400),False
1698575,item,294.0,60.0,234.0,16,16,31,False,False,best score below threshold (0.018 < 0.400),False
1698577,item,52.0,6.0,46.0,5,5,4,False,False,best score below threshold (0.001 < 0.400),False
1818855,item,552.0,12.0,540.0,12,12,7,False,False,best score below threshold (0.001 < 0.400),False
1464734,item,60.0,35.0,25.0,19,19,36,False,False,best score below threshold (0.097 < 0.400),False
1621116,item,240.0,88.0,152.0,25,25,45,False,False,best score below threshold (0.324 < 0.400),False
1621117,item,358.0,74.0,284.0,33,33,38,False,False,best score below threshold (0.368 < 0.400),False
1679467,item,262.0,42.0,220.0,21,21,22,False,False,best score below threshold (0.294 < 0.400),False
1735353,item,188.0,26.0,162.0,12,12,14,False,False,best score below threshold (0.221 < 0.400),False
1736326,item,108.0,20.0,88.0,8,8,11,False,False,best score below threshold (0.203 < 0.400),False
1736327,item,600.0,136.0,464.0,72,72,69,False,False,best score below threshold (0.281 < 0.400),False
1858899,item,215.0,12.0,203.0,7,7,7,False,False,best score below threshold (0.273 < 0.400),False
1858900,item,481.0,58.0,423.0,30,30,30,False,False,best score below threshold (0.361 < 0.435),False
1912646,item,259.0,28.0,231.0,14,14,29,False,False,best score below threshold (0.008 < 0.400),False
1739051,item,322.0,210.0,112.0,33,33,36,False,False,best score below threshold (0.001 < 0.400),False
1866061,item,78.0,10.0,68.0,11,11,11,False,False,best score below threshold (0.295 < 0.400),False
1905963,item,1200.0,362.0,838.0,114,114,182,False,False,best score below threshold (0.321 < 0.400),False
1905964,item,1440.0,416.0,1024.0,132,132,209,False,False,best score below threshold (0.005 < 0.400),False
1916844,item,1440.0,514.0,926.0,130,130,258,False,False,best score below threshold (0.396 < 0.400),False
1868548,item,103.0,72.0,31.0,7,7,7,False,False,best score below threshold (0.011 < 0.400),False
1868550,item,168.0,36.0,132.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1950871,item,79.0,79.0,0.0,13,13,14,True,False,DC exhausted,False
1960226,item,45.0,36.0,9.0,8,8,7,False,False,best score below threshold (0.000 < 0.400),False
1960242,item,119.0,66.0,53.0,10,10,12,False,False,best score below threshold (0.000 < 0.400),False
1960516,item,120.0,84.0,36.0,25,25,15,False,False,best score below threshold (0.012 < 0.435),False
108058,item,35.0,35.0,0.0,2,2,2,True,False,DC exhausted,False
108060,item,120.0,96.0,24.0,5,5,5,False,False,best score below threshold (0.035 < 0.435),False
1257847,item,299.0,72.0,227.0,6,6,7,False,False,best score below threshold (0.001 < 0.400),False
1301460,item,177.0,96.0,81.0,19,19,9,False,False,best score below threshold (0.093 < 0.435),False
1967028,item,78.0,24.0,54.0,7,7,3,False,False,best score below threshold (0.059 < 0.435),False
1122726,item,1124.0,60.0,1064.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1259511,item,156.0,72.0,84.0,6,6,7,False,False,best score below threshold (0.001 < 0.400),False
1298624,item,390.0,30.0,360.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1938556,item,547.0,60.0,487.0,6,6,7,False,False,best score below threshold (0.001 < 0.400),False
1694902,item,12.0,0.0,12.0,1,1,1,False,False,no eligible row above threshold,False
1694904,item,17.0,6.0,11.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1931355,item,6.0,6.0,0.0,1,1,1,False,False,DC exhausted,False
1808825,item,119.0,114.0,5.0,59,59,20,False,False,best score below threshold (0.381 < 0.500),False
1505804,item,288.0,144.0,144.0,17,17,13,False,False,best score below threshold (0.002 < 0.400),False
1993987,item,504.0,8.0,496.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1993988,item,351.0,24.0,327.0,2,2,4,False,False,best score below threshold (0.000 < 0.400),False
1993992,item,492.0,24.0,468.0,4,4,5,False,False,best score below threshold (0.000 < 0.400),False
1993995,item,528.0,24.0,504.0,4,4,5,False,False,best score below threshold (0.000 < 0.400),False
1993996,item,461.0,6.0,455.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1528515,item,88.0,18.0,70.0,8,8,4,False,False,best score below threshold (0.000 < 0.400),False
1738939,item,210.0,136.0,74.0,50,50,18,False,False,best score below threshold (0.001 < 0.435),False
1867208,item,121.0,16.0,105.0,3,3,3,False,False,best score below threshold (0.000 < 0.400),False
1917048,item,352.0,16.0,336.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1946809,item,159.0,30.0,129.0,8,8,6,False,False,best score below threshold (0.000 < 0.400),False
1946810,item,160.0,160.0,0.0,49,49,20,False,False,DC exhausted,False
1946811,item,40.0,16.0,24.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1946815,item,140.0,20.0,120.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1285127,item,540.0,228.0,312.0,44,44,20,False,False,best score below threshold (0.002 < 0.400),False
1285128,item,756.0,96.0,660.0,11,11,9,False,False,best score below threshold (0.000 < 0.400),False
1622334,item,420.0,24.0,396.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1855712,item,431.0,104.0,327.0,12,12,14,False,False,best score below threshold (0.000 < 0.400),False
1946805,item,308.0,36.0,272.0,3,3,4,False,False,best score below threshold (0.000 < 0.400),False
1946807,item,140.0,126.0,14.0,9,9,10,False,False,best score below threshold (0.004 < 0.400),False
1990317,item,419.0,72.0,347.0,10,10,10,False,False,best score below threshold (0.002 < 0.400),False
1990319,item,512.0,80.0,432.0,11,11,11,False,False,best score below threshold (0.000 < 0.400),False
1990320,item,404.0,40.0,364.0,4,4,6,False,False,best score below threshold (0.002 < 0.400),False
1990322,item,255.0,16.0,239.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1942438,item,539.0,204.0,335.0,18,18,18,False,False,best score below threshold (0.010 < 0.435),False
1514659,item,310.0,120.0,190.0,13,13,13,False,False,best score below threshold (0.001 < 0.435),False
1697437,item,411.0,70.0,341.0,11,11,8,False,False,best score below threshold (0.000 < 0.400),False
1778319,item,123.0,100.0,23.0,16,16,11,False,False,best score below threshold (0.000 < 0.400),False
1434363,item,4092.0,800.0,3292.0,7,7,9,False,False,best score below threshold (0.000 < 0.400),False
1125630,item,20.0,20.0,0.0,7,7,5,False,False,DC exhausted,False
1546551,item,234.0,198.0,36.0,41,41,34,False,False,best score below threshold (0.254 < 0.400),False
1721365,item,204.0,20.0,184.0,5,5,6,False,False,best score below threshold (0.000 < 0.400),False
1721371,item,142.0,8.0,134.0,2,2,3,False,False,best score below threshold (0.000 < 0.400),False
1830069,item,98.0,80.0,18.0,33,33,41,False,False,best score below threshold (0.089 < 0.400),False
1830070,item,288.0,170.0,118.0,94,94,86,False,False,best score below threshold (0.377 < 0.400),False
1830071,item,560.0,108.0,452.0,48,48,55,False,False,best score below threshold (0.002 < 0.400),False
1830089,item,188.0,82.0,106.0,32,32,42,False,False,best score below threshold (0.012 < 0.400),False
1830092,item,702.0,360.0,342.0,53,53,61,False,False,best score below threshold (0.093 < 0.400),False
1859146,item,488.0,80.0,408.0,20,20,21,False,False,best score below threshold (0.000 < 0.400),False
1927245,item,529.0,272.0,257.0,84,84,137,False,False,best score below threshold (0.371 < 0.400),False
1980784,item,239.0,27.0,212.0,14,14,28,False,False,best score below threshold (0.009 < 0.400),False
1980788,item,344.0,77.0,267.0,32,32,78,False,False,best score below threshold (0.208 < 0.400),False
1980790,item,187.0,183.0,4.0,92,92,184,False,False,best score below threshold (0.156 < 0.435),False
1980791,item,184.0,18.0,166.0,8,8,19,False,False,best score below threshold (0.002 < 0.400),False
1980792,item,174.0,76.0,98.0,36,36,77,False,False,best score below threshold (0.023 < 0.400),False
1987356,item,10.0,10.0,0.0,6,6,10,False,False,DC exhausted,False
1537849,item,207.0,16.0,191.0,12,12,17,False,False,best score below threshold (0.012 < 0.400),False
1541951,item,490.0,100.0,390.0,20,20,26,False,False,best score below threshold (0.023 < 0.400),False
1541952,item,671.0,84.0,587.0,19,19,22,False,False,best score below threshold (0.004 < 0.400),False
1541953,item,976.0,188.0,788.0,39,39,48,False,False,best score below threshold (0.044 < 0.400),False
1541954,item,757.0,344.0,413.0,74,74,87,False,False,best score below threshold (0.295 < 0.400),False
1541960,item,400.0,140.0,260.0,21,21,29,False,False,best score below threshold (0.002 < 0.400),False
1671858,item,955.0,208.0,747.0,41,41,53,False,False,best score below threshold (0.331 < 0.400),False
1671860,item,493.0,104.0,389.0,23,23,27,False,False,best score below threshold (0.094 < 0.400),False
1707248,item,1006.0,90.0,916.0,33,33,46,False,False,best score below threshold (0.180 < 0.400),False
1707249,item,1049.0,124.0,925.0,37,37,63,False,False,best score below threshold (0.305 < 0.400),False
1707250,item,431.0,0.0,431.0,16,16,1,False,False,no eligible row above threshold,False
1707251,item,485.0,2.0,483.0,1,1,2,False,False,best score below threshold (0.000 < 0.400),False
1707255,item,1280.0,108.0,1172.0,31,31,55,False,False,best score below threshold (0.029 < 0.400),False
1707257,item,1816.0,168.0,1648.0,53,53,85,False,False,best score below threshold (0.363 < 0.400),False
1889894,item,297.0,10.0,287.0,12,12,6,False,False,best score below threshold (0.164 < 0.400),False
1446444,item,377.0,176.0,201.0,64,64,89,False,False,best score below threshold (0.307 < 0.400),False
1446445,item,111.0,66.0,45.0,74,74,34,False,False,best score below threshold (0.180 < 0.400),False
1446447,item,130.0,20.0,110.0,5,5,6,False,False,best score below threshold (0.000 < 0.400),False
